2025-01-16 10:30:52, Voltage: 0.8136 V
2025-01-16 10:32:26, Voltage: 0.8064 V
2025-01-16 10:32:41, Voltage: 0.8061 V
2025-01-16 10:32:56, Voltage: 0.8077 V
2025-01-16 10:45:52, Voltage: 0.8099 V
2025-01-16 10:46:07, Voltage: 0.8037 V
2025-01-16 10:46:23, Voltage: 0.8078 V
2025-01-16 10:46:38, Voltage: 0.8121 V
2025-01-16 10:46:53, Voltage: 0.8217 V
2025-01-16 10:47:08, Voltage: 0.8190 V
2025-01-16 10:47:23, Voltage: 0.8196 V
2025-01-16 10:47:38, Voltage: 0.8205 V
2025-01-16 10:47:53, Voltage: 0.8158 V
2025-01-16 10:48:08, Voltage: 0.8088 V
2025-01-16 10:48:23, Voltage: 0.8135 V
2025-01-16 10:48:38, Voltage: 0.8097 V
2025-01-16 10:48:53, Voltage: 0.8130 V
2025-01-16 10:49:08, Voltage: 0.8183 V
2025-01-16 10:49:23, Voltage: 0.8217 V
2025-01-16 10:49:38, Voltage: 0.8212 V
2025-01-16 10:49:53, Voltage: 0.8124 V
2025-01-16 10:50:08, Voltage: 0.8193 V
2025-01-16 10:50:23, Voltage: 0.8190 V
2025-01-16 10:50:38, Voltage: 0.8160 V
2025-01-16 10:50:53, Voltage: 0.8121 V
2025-01-16 10:51:08, Voltage: 0.8215 V
2025-01-16 10:51:23, Voltage: 0.8135 V
2025-01-16 10:51:38, Voltage: 0.8123 V
2025-01-16 10:51:53, Voltage: 0.8193 V
2025-01-16 10:52:08, Voltage: 0.8120 V
2025-01-16 10:52:23, Voltage: 0.8137 V
2025-01-16 10:52:38, Voltage: 0.8076 V
2025-01-16 10:52:54, Voltage: 0.8121 V
2025-01-16 10:53:09, Voltage: 0.8083 V
2025-01-16 10:53:24, Voltage: 0.8114 V
2025-01-16 10:53:39, Voltage: 0.8130 V
2025-01-16 10:53:54, Voltage: 0.8074 V
2025-01-16 10:54:09, Voltage: 0.8099 V
2025-01-16 10:54:24, Voltage: 0.8049 V
2025-01-16 10:54:39, Voltage: 0.8218 V
2025-01-16 10:54:54, Voltage: 0.8180 V
2025-01-16 10:55:09, Voltage: 0.8158 V
2025-01-16 10:55:24, Voltage: 0.8172 V
2025-01-16 10:55:39, Voltage: 0.8224 V
2025-01-16 10:55:54, Voltage: 0.8142 V
2025-01-16 10:56:09, Voltage: 0.8110 V
2025-01-16 10:56:24, Voltage: 0.8057 V
2025-01-16 10:56:39, Voltage: 0.8099 V
2025-01-16 10:56:54, Voltage: 0.8113 V
2025-01-16 10:57:09, Voltage: 0.8154 V
2025-01-16 10:57:24, Voltage: 0.7974 V
2025-01-16 10:57:39, Voltage: 0.8002 V
2025-01-16 10:59:18, Voltage: 0.4550 V
2025-01-16 10:59:33, Voltage: 0.4536 V
2025-01-16 13:04:26, Voltage: 0.4562 V
2025-01-16 13:04:41, Voltage: 0.4572 V
2025-01-16 13:04:56, Voltage: 0.4587 V
2025-01-16 14:07:44, Pin: AIN0, Voltage: 0.4555 V
2025-01-16 14:07:44, Pin: AIN1, Voltage: 1.5578 V
2025-01-16 14:07:44, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:07:59, Pin: AIN0, Voltage: 0.4566 V
2025-01-16 14:07:59, Pin: AIN1, Voltage: 1.4104 V
2025-01-16 14:07:59, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:11:01, Pin: AIN0, Voltage: 0.4567 V
2025-01-16 14:11:01, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:11:29, Pin: AIN0, Voltage: 0.4557 V
2025-01-16 14:11:29, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:11:45, Pin: AIN0, Voltage: 0.4561 V
2025-01-16 14:11:45, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:19:34, Pin: AIN0, Voltage: 0.4556 V
2025-01-16 14:19:34, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:19:49, Pin: AIN0, Voltage: 0.4563 V
2025-01-16 14:19:49, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:20:04, Pin: AIN0, Voltage: 0.4596 V
2025-01-16 14:20:04, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:20:19, Pin: AIN0, Voltage: 0.4569 V
2025-01-16 14:20:19, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:20:34, Pin: AIN0, Voltage: 0.4570 V
2025-01-16 14:20:34, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:20:49, Pin: AIN0, Voltage: 0.4578 V
2025-01-16 14:20:49, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:21:04, Pin: AIN0, Voltage: 0.4578 V
2025-01-16 14:21:04, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:21:09, Pin: AIN0, Voltage: 0.4579 V
2025-01-16 14:21:09, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:21:24, Pin: AIN0, Voltage: 0.4589 V
2025-01-16 14:21:24, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:21:39, Pin: AIN0, Voltage: 0.4570 V
2025-01-16 14:21:39, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:21:54, Pin: AIN0, Voltage: 0.4574 V
2025-01-16 14:21:55, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:22:10, Pin: AIN0, Voltage: 0.4568 V
2025-01-16 14:22:10, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:22:25, Pin: AIN0, Voltage: 0.4584 V
2025-01-16 14:22:25, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:22:40, Pin: AIN0, Voltage: 0.4588 V
2025-01-16 14:22:40, Pin: AIN2, Voltage: 0.2511 V
2025-01-16 14:22:55, Pin: AIN0, Voltage: 0.4587 V
2025-01-16 14:22:55, Pin: AIN2, Voltage: 0.2511 V
